"MACHINE_ALERT_DETAIL_ID","MACHINE_ALERT_ID","MACHINE_EVENT_DETAIL_ID","MACHINE_EVENT_ID","BYTES_READ","BYTES_WRITTEN","PROTOCOL_TYPE","LOCAL_PORT","REMOTE_PORT","DNS_HOSTNAME","NETWORK_ADDRESS","DEST_REMOVABLE","DEST_DRIVE_TYPE","DEST_FILE_NAME","DEST_FILE_DIRECTORY","SRC_DRIVE_TYPE","SRC_FILE_NAME","SRC_FILE_DIRECTORY","PRINTER_NAME","PRINTER_JOBNAME","SRC_DRIVE_NAME","DEST_DRIVE_NAME","PROTOCOL_NAME","OUTBOUND_NAME","EVENT_SUBTYPE","FILE_SIZE","FILE_SIZE_KB","RECIPIENT_EMAIL_ADDRESS","RECIPIENT_TYPE","RECIPIENT_TYPE_NAME","SRC_FILE_ENCRYPTION","SRC_ENCRYPTION_NAME","DEST_FILE_ENCRYPTION","DEST_ENCRYPTION_NAME","HAS_SRC_CLASSIFICATION","HAS_DEST_CLASSIFICATION","SRC_FILE_ID","DEST_FILE_ID","URL_PATH","SRC_NETWORK_ADDRESS","SRC_DNS_HOSTNAME","ADE_OBJECT_TYPE","DR_PRODUCT_TYPE","DR_PRODUCT_NAME","DR_EVENT_TYPE","DR_EVENT_NAME","DR_USER_NAME","DR_SERVER_NAME","WAS_SRC_FILE_CAPTURED","WAS_DEST_FILE_CAPTURED","WAS_SCREEN_CAPTURED","SRC_DEVICE_DESCRIPTION_ID","DEST_DEVICE_DESCRIPTION_ID","WAS_PKI_AUTH","GID","EMAIL_ADDRESS","WAS_SMIME_ENCRYPTED","WAS_SMIME_SIGNED","DEVICE_TYPE","DEVICE_ID","REG_SRC_PATH","REG_DEST_PATH","REG_VALUE_TYPE","REG_VALUE","REG_VALUE_NAME","REG_EVENT_NAME","HOOKED_MODULE_NAME","HOOKED_FUNCTION_NAME","HOOKED_OWNER_MODULE","HOOKED_ADDRESS","WAS_DLL_LOADED_RT","WAS_DLL_LOADED_AI","WAS_DLL_LOADED_UI","WAS_DLL_LOADED_RF","DNS_QUESTION","SRC_CLASS_POLICIES","DEST_CLASS_POLICIES","SRC_CLASS_RULES","DEST_CLASS_RULES","SRC_CLASS_TAGS","DEST_CLASS_TAGS","HAS_SRC_SAMPLE_MATCH","HAS_DEST_SAMPLE_MATCH"
"2CB7387C-1BEA-42B5-AA24-4DAC74682620","96FAF029-5FCE-11F1-A6BE-806E6F6E6963","1DE6A76C-ABC7-102D-9A91-806E7FDE72E8","1DE6AB56-ABC7-102D-9A91-806E7FDE72E8","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","","","http://chatgpt.com/api/auth/callback/openai?code=ac_6geo3b4vvzda8cfhxbbr8sj6dg4qqm2mpyrsg5atz2g.cc2elxsvgycuny3igx6bsmk-rcxjfjkbbjh6ivbjiwu&scope=openid+email+profile+offline_access+model.request+model.read+organization.read+organization.write&state=yo2zciy29m4tatcsneam_xj8s1110gpbmqwya-e5xi0","127.0.0.1","","","","","","","","","False","False","0","","","False","","","False","False","","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"3E88C44E-B393-480D-9AA8-C9734469BAE5","96FAF02B-5FCE-11F1-A6BE-806E6F6E6963","1BFC6F1D-ABC7-102D-9A91-806E7FDE72E8","1BFC9307-ABC7-102D-9A91-806E7FDE72E8","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","","","http://chatgpt.com/?file_upload_carryover=1","127.0.0.1","","","","","","","","","False","False","0","","","False","","","False","False","","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"34F6CB25-9D98-4315-8789-30827309DA3D","96FAF02D-5FCE-11F1-A6BE-806E6F6E6963","18BF642D-ABC7-102D-9A91-806E7FDE72E8","18BF6817-ABC7-102D-9A91-806E7FDE72E8","0","0","8","54273","53","dns.google","8.8.8.8","False","7","","","7","","","","","None","None","DNS","Outbound","6","0","0 KB","","","","","","","","0","0","","","","172.16.1.17","","","","","6","Delete","","","False","False","0","","","False","","","False","False","","","","","","","Query Value","","","","","","False","False","False","False","sdmntprseasia.oaiusercontent.com","","","","","","","False","False"
"17A0B56C-8404-4EA7-BF45-50A67B790CA4","96FAF02F-5FCE-11F1-A6BE-806E6F6E6963","18B62C3B-ABC7-102D-9A91-806E7FDE72E8","18B65025-ABC7-102D-9A91-806E7FDE72E8","0","0","8","59879","53","dns.google","8.8.8.8","False","7","","","7","","","","","None","None","DNS","Outbound","6","0","0 KB","","","","","","","","0","0","","","","172.16.1.17","","","","","6","Delete","","","False","False","0","","","False","","","False","False","","","","","","","Query Value","","","","","","False","False","False","False","ws.chatgpt.com","","","","","","","False","False"
"B29A90D8-1C15-4500-9DD2-E35D79FCEB12","96FAF030-5FCE-11F1-A6BE-806E6F6E6963","C7814732-5FFC-11F1-A6BE-4889E7C2D967","188A058B-ABC7-102D-DA89-806E7F1E42F6","84","84","7","49676","443","sdmntprseasia.oaiusercontent.com","172.64.144.52","False","4","testtest.txt","https://sdmntprseasia.oaiusercontent.com/","3","testtest.txt","c:\users\whdud\downloads\","","testtest.txt","Fixed","Remote","HTTP","Outbound","","84","1 KB","","","","0","","0","","0","0","EB6F7932-D81D-BC42-3279-6FEB1DD842BC","00000000-0000-0000-0000-000000000000","","127.0.0.1","","","","","","","","","False","False","0","f639c96f-418a-d7fd-4720-cf7db02465fa","00000000-0000-0000-0000-000000000000","False","","","False","False","","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"7D37192F-8953-4332-933E-92D500B08F56","96FAF032-5FCE-11F1-A6BE-806E6F6E6963","182D3DB1-ABC7-102D-9A91-806E7FDE72E8","182D219B-ABC7-102D-9A91-806E7FDE72E8","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","","","http://chatgpt.com/ces/v1/rgstr?k=client-nb0qtylzuy2tcmn5s5ncnuibcjncjrvit0izfm7gqst&st=javascript-client&sv=3.32.6&t=1780567479856&sid=3977c925-4b13-4f91-84c9-92663a1fbe22&ec=187&gz=1","127.0.0.1","","","","","","","","","False","False","0","","","False","","","False","False","","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"1DAFE818-F808-4079-828A-32E043410B62","96FAF036-5FCE-11F1-A6BE-806E6F6E6963","05F4FAF8-ABC7-102D-9A91-806E7FDE72E8","05F4FEE2-ABC7-102D-9A91-806E7FDE72E8","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","","","http://chatgpt.com/backend-api/memories?exclusive_to_gizmo=false&include_memory_entries=false","127.0.0.1","","","","","","","","","False","False","0","","","False","","","False","False","","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"D14F4487-F599-45F0-AE17-DC3882B0D0B2","96FAF038-5FCE-11F1-A6BE-806E6F6E6963","01B51732-ABC7-102D-9A91-806E7FDE72E8","01B51B1C-ABC7-102D-9A91-806E7FDE72E8","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","","","http://chatgpt.com/ces/v1/telemetry/intake?ddsource=csp-report&dd-api-key=dummy-token","127.0.0.1","","","","","","","","","False","False","0","","","False","","","False","False","","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"59E111C2-E6CC-4D0D-815B-56D2F7074F43","96FAF039-5FCE-11F1-A6BE-806E6F6E6963","C7814A86-5FFC-11F1-A6BE-4889E7C2D967","0EE8DB2A-ABC7-102D-DA89-806E7F1E42F6","0","0","","","","","","False","7","chrome legacy window","Unsaved Document","0","","","","","Unknown","None","","Inbound","","0","0 KB","","","","0","","0","","0","0","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","","","","","","","","","","","False","False","0","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","False","","","False","False","","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"8B1F82F0-0076-4718-AFC3-05848DCA849C","96FAF03B-5FCE-11F1-A6BE-806E6F6E6963","0CD98117-ABC7-102D-9A91-806E7FDE72E8","0CD98501-ABC7-102D-9A91-806E7FDE72E8","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","","","http://chatgpt.com/backend-api/f/conversation/prepare?","127.0.0.1","","","","","","","","","False","False","0","","","False","","","False","False","","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
